date,A,B,C,D
25-Nov-06,1.9,1,3.5,0
26-Nov-06,0,1.8,3.7,0
27-Nov-06,,0,0,0.7
28-Nov-06,0,0,4.2,0.5
29-Nov-06,6.2,20.7,24.8,10.4
30-Nov-06,0,6.3,0,0
1-Dec-06,0,0,0,0
2-Dec-06,0,0,1.5,0
3-Dec-06,0,0,5.5,0
4-Dec-06,0,4.4,0,0.5
5-Dec-06,0,0,0,0
6-Dec-06,40.5,,15.3,7.1
7-Dec-06,10.5,14.4,1.2,6
8-Dec-06,0,0,4.1,0
9-Dec-06,0,2.7,14.9,5.7
10-Dec-06,0,1.6,5.5,1
11-Dec-06,2.1,0,1.2,1
12-Dec-06,0,0,1.5,0.5
13-Dec-06,0,0.7,2.3,0.1
14-Dec-06,0,0,0.4,0
15-Dec-06,11.5,6.4,15.7,3.2
16-Dec-06,2,12.7,21.6,8.8
17-Dec-06,8.1,3.5,0,1.3
18-Dec-06,,2.3,13.3,0.5
19-Dec-06,25.6,8.2,17.5,29
20-Dec-06,0,0.4,3.6,5.1
21-Dec-06,14.5,2.9,15.7,14.1
22-Dec-06,1.4,1.6,12.3,2
23-Dec-06,8.4,4,11.2,4.4
24-Dec-06,,0,0.4,0
25-Dec-06,0,0,5.4,0.3
26-Dec-06,1,1.5,9.4,5.4
27-Dec-06,2.7,1.8,43.8,10.7
28-Dec-06,1,6.7,22.4,2.5
29-Dec-06,,2.3,1.8,5.1
30-Dec-06,4.2,2.6,6.8,2.8
31-Dec-06,0,1.3,6,0
1-Jan-07,11.4,0.2,4,2.2
2-Jan-07,13.9,0.5,3.7,4.6
3-Jan-07,3.5,1.5,17.7,2.3
4-Jan-07,1.6,0.1,0,0
5-Jan-07,14.5,1,9.7,0
6-Jan-07,22.6,2,5.7,0
7-Jan-07,0,0,57.8,0
8-Jan-07,3.6,0.1,1.1,0
9-Jan-07,12.1,0,13.2,1.3
10-Jan-07,9.8,5.1,18.8,10.9
11-Jan-07,9.5,1.9,18.2,3.5
12-Jan-07,27.8,12.3,42.1,6.8
13-Jan-07,1.6,1.1,0.8,0
14-Jan-07,8.6,4.2,8,20.9
