Year,Month,Index
2003,4,-0.69
2003,5,-1.13
2003,6,-1.39
2003,7,-0.91
2003,8,-0.64
2003,9,-0.21
2003,10,-0.08
2003,11,0.18
2003,12,0.06
2004,1,-0.06
2004,2,-0.37
2004,3,-0.45
2004,4,-0.89
2004,5,-0.96
2004,6,-1
2004,7,-0.75
2004,8,-0.53
2004,9,-0.23
2004,10,0.26
2004,11,0.47
2004,12,0.38
2005,1,-0.21
2005,2,-0.84
2005,3,-0.96
2005,4,-0.76
2005,5,-0.5
2005,6,-0.45
2005,7,-0.47
2005,8,-0.48
2005,9,-0.81
2005,10,-1.13
2005,11,-1.15
2005,12,-0.88
2006,1,-0.41
2006,2,-0.26
2006,3,-0.65
2006,4,-0.91
2006,5,-0.88
2006,6,-0.26
2006,7,0.21
2006,8,0.61
2006,9,0.88
2006,10,0.9
2006,11,0.84
2006,12,0.73
2007,1,0.56
2007,2,0.16
2007,3,-0.47
2007,4,-1.16
2007,5,-1.57
2007,6,-1.54
2007,7,-1.33
2007,8,-1.08
2007,9,-1.2
2007,10,-1.35
2007,11,-1.56
2007,12,-1.24
2008,1,-0.61
2008,2,0.06
2008,3,0.34
2008,4,0.44
2008,5,0.5
2008,6,0.71
2008,7,0.97
2008,8,1.11
2008,9,0.89
2008,10,0.36
2008,11,-0.11
2008,12,-0.29
2009,1,-0.45
2009,2,-0.61
2009,3,-0.46
2009,4,-0.19
2009,5,0.26
2009,6,0.35
2009,7,0.54
2009,8,0.54
2009,9,0.43
2009,10,0.3
2009,11,0.32
2009,12,0.34
2010,1,0.31
2010,2,0.16
2010,3,0.01
2010,4,0.01
2010,5,-0.02
2010,6,-0.34
2010,7,-0.87
2010,8,-1.31
2010,9,-1.4
2010,10,-1.4
2010,11,-1.29
2010,12,-1.01
2011,1,-0.61
2011,2,-0.61
2011,3,-0.49
2011,4,-0.37
2011,5,0.07
2011,6,0.19
2011,7,0.11
2011,8,-0.19
2011,9,-0.49
2011,10,-0.62
2011,11,-0.64
2011,12,-0.47
2012,1,-0.2
2012,2,0.09
2012,3,0.48
2012,4,0.63
2012,5,0.9
2012,6,0.74
2012,7,0.49
2012,8,0.19
2012,9,-0.06
2012,10,-0.24
2012,11,-0.58
2012,12,-0.7
2013,1,-0.84
2013,2,-0.8
2013,3,-1.05
2013,4,-1.33
2013,5,-1.69
